Country Name;Country Code;Series Name;Series Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Barbados;BRB;Trade (% of GDP);NE.TRD.GNFS.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Belarus;BLR;Trade (% of GDP);NE.TRD.GNFS.ZS;89,6073903;66,66666667;117,3913043;150,964467;155,3757095;103,7181948;96,77489979;125,5161792;122,9576977;120,8351178;141,609166;137,0449305;131,0020583;134,1418523;142,1365104;118,8843517;124,2951039;128,153878;129,5994785;108,6356448;115,917973;157,9742551;153,0852693;119,8159652;110,6514244;115,9148262;125,2093229;133,3677547;139,3937363;130,8504061;118,9341761
Belgium;BEL;Trade (% of GDP);NE.TRD.GNFS.ZS;121,4678511;118,5901377;115,0692875;109,012737;113,2323;116,3785678;119,2127758;125,6889401;124,7091226;125,1699905;142,2301351;139,5768398;136,0851495;132,7155528;136,9184053;144,5290507;149,5675093;152,4684469;161,0884478;135,1384057;150,1625636;160,7655169;160,3833014;157,5736228;158,571611;155,068682;159,0576966;166,9040782;168,2776929;165,4654789;156,9501213
Belize;BLZ;Trade (% of GDP);NE.TRD.GNFS.ZS;79,39374212;79,17796596;80,34747549;75,74810887;80,88297026;77,33676281;79,57390763;85,45073149;85,28376928;93,32229883;96,60184471;93,16240505;93,07945847;94,36312289;86,38535368;92,99712663;98,88107432;95,95555115;105,4618743;89,58088439;94,85815915;106,9149602;111,1666524;108,6726141;107,1125175;104,0709588;96,49983583;97,70725718;100,9892144;102,4418569;81,64314331
Benin;BEN;Trade (% of GDP);NE.TRD.GNFS.ZS;45,72018215;51,34471684;56,7407458;55,38179913;64,40047925;63,80014001;56,51779145;58,71162961;59,5936253;54,39178915;47,3481515;48,25717064;43,76842254;41,61623056;39,90297434;39,09593119;39,77469871;49,11378415;47,77535927;44,70262906;51,43085995;47,21702881;50,73673678;59,20019183;65,26827494;56,75631318;58,98692834;61,47659696;61,79519449;63,68133231;44,83323338
Bermuda;BMU;Trade (% of GDP);NE.TRD.GNFS.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;74,59508034;76,27043681;73,78230306;76,2701067;76,51674746;73,29549852;72,74990938;72,39242845;77,55527038;77,56010165;69,19370023
Bhutan;BTN;Trade (% of GDP);NE.TRD.GNFS.ZS;61,21628744;75,97298581;91,76083757;78,75599335;72,10077936;83,88290865;84,62949143;85,21143723;85,58313509;85,86620598;74,02649711;71,09457473;70,2833172;72,84990066;89,0605518;97,74341354;108,1577949;106,9290224;101,9542357;101,5594116;105,0106667;102,7956002;94,04502715;95,05253828;87,9342562;89,63916046;76,38475285;76,78840169;79,73972033;76,1235167;71,83035104
Bolivia;BOL;Trade (% of GDP);NE.TRD.GNFS.ZS;46,70327258;48,44496887;49,11085788;47,46712569;48,8608505;49,7379871;49,85629137;50,46966281;52,28116296;44,16825649;45,59777502;45,22782243;49,35026037;51,96783644;57,46426609;67,64194136;74,53784843;76,06191145;82,8670209;68,62707391;75,51162625;82,48039542;84,94876117;81,23090753;85,26446956;67,93284519;56,4010345;45,57611237;46,92619534;45,82097327;37,51643424
Bosnia and Herzegovina;BIH;Trade (% of GDP);NE.TRD.GNFS.ZS;..;..;..;..;101,8472277;91,87961266;107,5000435;100,6309648;125,6666091;121,8205416;85,35774313;86,03573401;78,72747836;80,56945726;81,81268618;84,35546282;79,82994778;83,55185889;86,16287984;73,74749423;80,96821596;87,83634771;88,14510886;87,93123803;90,55227804;88,29199259;88,244034;96,64588036;98,43206942;94,51612515;82,5216468
Botswana;BWA;Trade (% of GDP);NE.TRD.GNFS.ZS;104,8473204;99,55838535;89,75125459;86,20820501;88,18060973;94,59517165;90,95557528;108,6044152;101,8410393;98,9290812;91,92472969;87,52506557;91,83577406;85,83404252;90,99782289;88,50535206;86,61243391;98,49652494;99,00822201;88,48078863;94,63900209;98,96146778;111,8752806;125,7830399;119,4975418;112,900891;100,4646898;81,92395138;87,45510399;83,09298136;77,66341786
