El Salvador;SLV;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;2348,204602
Equatorial Guinea;GNQ;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;366,3144047
Eritrea;ERI;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;..
Estonia;EST;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;9341,225615
Eswatini;SWZ;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;2027,974819
Ethiopia;ETH;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;267,0781345
Faroe Islands;FRO;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;..
Fiji;FJI;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;3414,950532
Finland;FIN;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;31291,52226
France;FRA;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;27992,97515
French Polynesia;PYF;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;25307,70455
Gabon;GAB;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;8354,26309
Gambia, The;GMB;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;658,7111653
Georgia;GEO;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;3534,032277
Germany;DEU;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;29763,31247
Ghana;GHA;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;855,8525071
Gibraltar;GIB;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;..
Greece;GRC;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;15438,7937
Greenland;GRL;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;26805,5497
Grenada;GRD;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;5102,69173
Guam;GUM;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;..
Guatemala;GTM;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;2741,538134
Guinea;GIN;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;548,3715348
Guinea-Bissau;GNB;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;569,1696704
Guyana;GUY;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;2377,217954
Haiti;HTI;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1627,312645
Honduras;HND;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;457,9810401
Hong Kong SAR, China;HKG;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;21357,26195
Hungary;HUN;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;8646,447544
Iceland;ISL;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;37302,80603
India;IND;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;537,8702695
Indonesia;IDN;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1470,918223
Iran, Islamic Rep.;IRN;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;3222,201027
Iraq;IRQ;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;3526,579251
Ireland;IRL;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;23456,99936
Isle of Man;IMN;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;28042,44412
Israel;ISR;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;22395,11188
Italy;ITA;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;27625,17923
Jamaica;JAM;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;4773,628482
Japan;JPN;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;28422,21312
Jordan;JOR;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;3202,33686
Kazakhstan;KAZ;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;5557,082157
Kenya;KEN;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1329,333128
Kiribati;KIR;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1387,652921
Korea, Dem. People's Rep.;PRK;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;..
Korea, Rep.;KOR;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;9672,578452
Kosovo;XKX;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;..
Kuwait;KWT;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;20140,78347
Kyrgyz Republic;KGZ;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1203,472083
