Country Name;Country Code;Series Name;Series Code;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2000;1998;1996
Bahamas, The;BHS;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;1,2128533;1,2125503;1,1027809;1,0769219;1,0895206;1,0887958;1,3095259;1,4818436;1,4817162;1,483393;1,4842;1,4838778;1,3232893;1,3222897;1,3260502;1,3208004;1,1621103;1,3243719;1,3263956;1,3323283;1,3407086;1,3435748
Bahrain;BHR;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;-0,0925166;-0,0835445;-0,140961;-0,143222;-0,0877355;0,0385922;-0,0204446;0,197016;0,1663109;0,1964302;0,15202;0,078316;0,0224366;0,1042366;0,10779;0,1496686;0,2241191;0,3727252;0,5602165;0,1016791;0,1061532;0,1076835
Bangladesh;BGD;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;-1,0760578;-1,1006451;-1,0964787;-1,062185;-1,0667924;-1,0798121;-1,1845563;-1,1326018;-1,1213329;-1,0523775;-1,0218466;-0,9111494;-0,9484057;-1,1475412;-1,4299078;-1,4632376;-1,5156931;-1,4630795;-1,4493199;-1,1399628;-0,8733555;-0,8720896
Barbados;BRB;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;1,1695313;1,1451261;1,1350977;1,1097987;1,1460171;1,207238;0,9707469;1,422247;1,4452466;1,514105;1,3402327;1,2533661;1,3355369;1,3397259;1,3885303;1,3508259;1,1585946;1,440375;1,4423347;1,4480795;1,4561945;1,45897
Belarus;BLR;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;-0,1014181;0,0170374;-0,1272022;-0,1120128;-0,1462308;-0,2405698;-0,1522547;-0,2788276;-0,3105829;-0,4594806;-0,5605517;-0,4726157;-0,4741791;-0,500874;-0,4982309;-0,2910817;-0,3473571;-0,5190961;-0,5177246;-0,3594217;0,0214909;-0,5706325
Belgium;BEL;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;1,5662608;1,4973857;1,4543603;1,4425342;1,5450402;1,5244457;1,5150458;1,5003188;1,4862037;1,5664836;1,4956315;1,5580741;1,404707;1,3866548;1,4069022;1,471559;1,4030257;1,4560896;1,5594273;1,450425;1,2384711;1,5008783
Belize;BLZ;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;-0,0753265;-0,075652;-0,1082321;-0,1991297;-0,1234777;-0,2669244;-0,2871964;-0,0751853;-0,0752991;-0,0679633;0,1822509;0,2493633;0,0149957;-0,2776753;-0,2711009;-0,1470838;-0,1006888;-0,0714178;-0,0682631;-0,0590151;-0,0459516;-0,0414836
Benin;BEN;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;-0,0352655;-0,2398967;-0,2921422;-0,402134;-0,4335684;-0,5072447;-0,6075837;-0,5738602;-0,677392;-0,4955475;-0,4991988;-0,4479446;-0,3572345;-0,3382158;-0,4278956;-0,7047019;-0,5094063;-0,8428625;-0,8409028;-0,835158;-0,8270431;-0,7690646
Bermuda;BMU;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;1,1797991;1,1784788;1,1732244;1,1694105;1,1716528;1,1685187;1,1646295;1,3250051;1,3246331;1,3295291;1,3318853;1,3309446;1,3309995;1,3294413;1,3353033;1,3271197;1,0797485;1,332687;1,3358417;1,3450898;1,3581532;1,3626213
Bhutan;BTN;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;1,3421241;1,4640293;1,4519306;1,4511886;1,169102;1,0788548;1,0904024;0,785208;0,8135637;0,7141101;0,7720446;0,7718472;0,8707561;0,8441927;0,8146492;0,9887151;0,7450914;1,0675763;0,4776114;0,4415811;0,7464043;0,7626075
