Series Name;Series Code;Country Name;Country Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
School enrollment, secondary (% gross);SE.SEC.ENRR;Belarus;BLR;97,58364868;93,49874115;92,65151978;91,49121094;91,32147217;92,46649933;93,9261322;93,12956238;84,60178375;..;..;..;..;..;..;..;..;..;115,7135925;113,7015381;111,0289985;108,9898674;107,6577864;104,5231241;103,5103512;102,895731;102,9690059;102,4808505;101,596011;100,4387442;100,5757104
School enrollment, secondary (% gross);SE.SEC.ENRR;Belgium;BEL;..;..;..;..;..;..;..;..;..;..;..;155,946167;157,6487732;158,8792267;151,638092;157,343399;158,6851044;159,4398956;160,468811;159,6615448;160,6604767;159,3493042;160,1105347;161,8458862;162,4219818;164,0798187;160,68927;158,6702881;156,5097656;156,635376;151,7275085
School enrollment, secondary (% gross);SE.SEC.ENRR;Belize;BLZ;..;60,46767044;..;..;66,75341034;66,83187866;..;..;..;64,77555084;67,70301819;69,29019928;..;75,23545074;76,64250946;75,26563263;76,09268188;75,48921967;75,40952301;75,11128998;75,62230373;76,1272789;78,80953972;80,66943037;80,35830337;81,29361995;87,73137263;86,3238932;86,28335614;87,45265967;86,18865962
School enrollment, secondary (% gross);SE.SEC.ENRR;Benin;BEN;..;..;..;..;..;..;..;..;..;19,25670052;20,00053978;21,71043968;23,58466911;24,90011978;26,70414925;..;..;..;..;..;..;45,7294693;..;52,03784943;52,59526825;55,13330841;55,29459;..;..;..;43,98587036
School enrollment, secondary (% gross);SE.SEC.ENRR;Bermuda;BMU;..;..;..;..;..;..;..;..;..;..;..;85,55368042;84,89864349;85,63027954;87,59803009;86,63024139;82,01125336;..;..;..;89,59642792;88,05544281;86,2392807;85,06520081;85,48454285;86,80705261;..;..;..;..;..
School enrollment, secondary (% gross);SE.SEC.ENRR;Bhutan;BTN;..;..;..;..;..;..;..;..;23,79524994;27,13748932;30,51857948;33,86843109;..;..;..;43,88491058;46,43040848;50,22494125;53,50408936;58,55374146;62,93544006;66,98612213;72,13021851;76,68079376;84,14041901;85,23130798;85,67661285;86,56004333;87,57228707;90,61855755;89,77114289
School enrollment, secondary (% gross);SE.SEC.ENRR;Bolivia;BOL;..;..;..;..;..;..;..;..;69,68549347;75,25482941;72,75763702;75,78627014;80,63069916;83,46972656;86,3809967;87,42555237;86,59062958;86,04959869;85,36837769;83,75238037;87,76018764;85,30040795;87,01085122;88,76505571;89,45648198;90,6139032;90,61528528;89,40002128;88,72189996;88,82350466;88,86723698
School enrollment, secondary (% gross);SE.SEC.ENRR;Bosnia and Herzegovina;BIH;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;80,98944855;85,2279129;87,00093079;85,51837158;87,72799683;90,78530884;92,29839325;90,2868576;85,71617889;83,16995239;83,66808319;85,64099121;85,54013062;85,55911255
School enrollment, secondary (% gross);SE.SEC.ENRR;Botswana;BWA;43,07833099;51,95709991;51,17724991;55,13637924;53,13013077;58,882061;..;..;74,40514374;75,07862091;76,19682312;75,30020142;75,87957001;76,56487274;78,39881897;79,56362152;81,69483948;82,48670959;77,80651093;..;..;..;..;..;..;..;..;..;..;..;..
School enrollment, secondary (% gross);SE.SEC.ENRR;Brazil;BRA;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;94,58294678;104,0862198;102,7803116;101,0862274;102,6929016;102,9894867;104,8184814;103,6675568;103,8826599
