Country Name;Country Code;Series Name;Series Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Bahamas, The;BHS;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;-3,296191759;-5,815327371;-5,573309075;-1,555541082;1,350387443;2,664156846;2,587699944;-0,222584467;3,234543574;5,72071862;2,790905518;1,373534;1,534862932;-2,442848949;-0,353931311;2,159759355;1,197964733;0,022316157;-3,629017836;-5,414140447;0,248837038;-0,537416355;3,478927763;-3,756252482;0,95583778;0,198544915;-1,846531484;2,728115495;1,815978174;-1,33053;-20,32918136
Bahrain;BHR;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;0,893819936;13,82693921;3,920583935;9,939399205;-2,841207905;1,231132748;1,404160777;0,411529525;2,065271537;1,587982296;2,559646914;-1,187353568;-3,812875133;-1,206571929;-0,710582646;-1,04880317;-1,470380325;0,075646933;0,063714463;-3,979197726;0,077166959;4,787472097;2,605781234;1,576686846;-0,560855463;-1,663292787;-0,079109875;-0,457057166;1,918495729;3,382740869;-5,173074009
Bangladesh;BGD;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;3,540805414;1,526796288;3,4738382;2,779078567;1,981565712;3,185893833;2,629544607;2,57102378;3,209952444;2,700692492;3,38671359;3,340278822;2,242860585;3,226324776;3,81635685;5,201313687;5,440428815;5,913202756;4,960571702;4,070764216;4,650462974;5,501503282;5,505480202;5,023418397;5,099054602;5,604495397;6,1618156;5,68710307;6,441974947;6,972643998;2,586478166
Barbados;BRB;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;-3,484463733;-4,192979721;-6,016460946;0,499601554;1,77956019;1,850877928;3,879351748;4,69699252;3,7110732;0,303697654;4,62813476;-2,500145821;0,129980081;1,549609072;0,834158698;3,410738133;5,561411366;1,59529283;0,107256161;-5,505489283;-2,615599863;-0,633787547;-3,692570899;-2,02836384;0,505392415;-1,397902505;1,275796936;0,502419996;-1,46593817;0,050927971;-14,51397436
Belarus;BLR;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;..;-1,245567193;-9,798383501;-7,803770138;-11,59557508;-10,10885268;3,146685981;11,8639522;8,889364455;3,866378695;6,299636282;5,263892188;5,716082514;7,794917819;12,21261843;10,14976716;10,67558672;9,099460041;10,58130504;0,446705717;7,985732834;5,797550173;1,867269737;1,037490048;1,594062025;-3,957251264;-2,611913816;2,644807517;3,369991508;1,651367509;-0,251224685
Belgium;BEL;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;2,830267877;1,455371862;1,119565668;-1,347999478;2,909318699;2,170550243;1,123650269;3,542803056;1,744347977;3,305681097;3,465478232;0,752467698;1,251994282;0,615852527;3,123931284;1,760456465;1,878174189;2,91838152;-0,343476137;-2,692534717;1,776183416;0,613616928;-0,403775116;-0,166173061;1,314774623;0,887876358;0,682454833;1,084311513;1,415289375;1,89071932;-5,20244011
Belize;BLZ;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;8,929080926;9,409740589;10,40869196;4,003713519;-2,126578389;-1,759765043;-1,858001259;0,81391272;0,32784404;5,720650237;8,632863125;1,789381352;2,257797202;6,434472086;1,730822957;-0,719879318;1,553761341;0,469905572;-4,297515667;-3,074913445;-0,999227092;-2,282185124;1,732069718;1,869240524;1,719867526;0,623344724;-2,313865216;-4,068281537;-1,040440047;2,742575304;-14,62551526
Benin;BEN;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;5,678424808;1,059894065;-0,174577694;1,243124435;-1,72472268;3,826683556;1,629860214;2,658915884;0,804830625;2,132400379;2,6504315;2,164524391;1,509640257;0,336976511;1,280779944;-1,510433395;0,750089698;2,900175704;1,776470696;-0,703743156;-0,888244805;-0,057123017;1,74647753;4,076668027;3,260772171;-1,184320438;0,36116614;2,6704172;3,737015543;3,982113266;1,120202648
Bermuda;BMU;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;-0,727990781;-4,241437275;-0,783533834;2,292256869;-0,042793868;3,816873068;2,108168799;3,967293989;3,108400628;2,56233775;8,560550259;6,673039057;-1,913785699;3,006253556;2,044833778;1,42128117;5,337260155;3,056475297;-2,315543075;-6,020136318;-2,747672946;-3,754826881;-5,175857524;-0,16677148;-3,632855408;0,878744269;-0,63372064;3,401191878;-0,827444989;-0,124745932;-7,225547894
Bhutan;BTN;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;7,442063156;-2,150867414;8,585607793;6,233890874;4,984815834;8,345745823;5,412245113;3,504183149;3,916779513;5,547664743;0,881596585;4,880426958;8,03559524;5,546187247;3,075106682;5,105979517;4,233833836;14,763141;3,355236093;6,482664061;10,71242084;7,304769409;4,006257826;0,614996701;4,745065436;5,583706035;7,424640568;1,211372391;2,762961028;5,054791532;-10,82261124
Bolivia;BOL;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;2,458349784;3,095534118;-0,406134714;2,221397474;2,660871687;2,719495973;2,448117814;3,076060508;3,1912197;-1,311180574;0,762647491;-0,017100458;0,785766491;1,005158394;2,435011684;2,676006596;3,025736246;2,79100342;4,371629809;1,650077111;2,428457131;3,510649717;3,454063612;5,128470927;3,844184168;3,278651558;2,722207157;2,683728435;1,404119942;0,088944025;-13,789862
Bosnia and Herzegovina;BIH;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;..;-9,54507316;-1,493699177;6,089470199;16,47376421;16,27567174;47,84541898;31,77901262;14,58798516;8,43574268;4,667607;1,941344232;4,812675161;4,102758628;7,289053939;5,025660972;6,275859794;7,173920727;7,201551285;-1,310693412;2,673720429;2,839424259;1,115320158;4,029414353;2,459972749;5,656035112;4,595970256;4,578688078;5,10677209;4,161095452;-1,657507077
Botswana;BWA;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;3,876200609;4,570731782;0,062532147;-0,960421541;0,795369762;4,258811946;3,274997255;5,86002743;-1,757109772;7,323082453;-0,163772715;-1,791143;4,093208374;2,800973794;0,920692082;2,696606331;6,361425592;3,761895523;1,199231316;-15,89971491;7,821146994;4,755573289;-1,831759004;9,43871074;4,170990129;-6,199954122;5,693194554;2,64591261;2,720714331;1,576390941;-10,03323832
Brazil;BRA;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;-6,043271763;-0,686503406;-2,188501405;3,238677952;4,210940305;2,632056304;0,672968776;1,869244349;-1,143603909;-0,984800298;2,962220447;0,077000521;1,782043081;-0,045832831;4,571693673;2,077308339;2,867520838;5,001470159;4,092216269;-1,016323622;6,627829949;3,131698544;1,097332938;2,173330806;-0,303163572;-4,30639756;-4,010127192;0,587668929;1,090408604;0,562970837;-3,835505466
British Virgin Islands;VGB;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Brunei Darussalam;BRN;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;-0,263026647;0,048238362;-5,721048556;-3,192332014;-1,538384552;-1,125177175;-2,400642784;3,883351849;-8,761956181;1,9673264;1,251592482;-0,640605268;1,896876645;1,629718274;-1,675105429;-1,676953068;2,457846963;-5,375031749;-5,660952948;-3,724626799;0,808737769;1,911295491;-0,621623717;-3,468418416;-3,805754682;-1,680970526;-3,698643;0,109331622;-1,098959091;2,726165063;0,065735332
Bulgaria;BGR;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;-7,463207654;-7,534068857;-6,271263889;-0,691213573;2,164358852;3,356463617;5,749370306;-13,5909227;4,484024542;-7,881072895;5,105055693;5,911159581;8,195216335;6,074061751;7,317404927;7,86550144;7,616849684;7,441488905;6,877126531;-2,722414806;2,226078965;2,746910143;1,334066613;1,483660855;2,182965019;4,72028584;4,372881635;4,115239576;3,743238208;5,268978725;-2,156831039
Burkina Faso;BFA;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;-3,187661934;6,338472499;-2,209726904;0,920491455;-1,207760725;3,040325358;8,209981105;3,611022435;4,382315503;4,293848162;-1,107106602;3,409757708;1,17736897;4,492946881;1,24360967;5,295740309;2,988892119;1,001312767;2,736636763;-0,000227774;5,319349159;3,516336236;3,288783465;2,665082759;1,270476556;0,888259828;2,903509091;3,216405217;3,767726783;3,243918662;-0,443420002
Burundi;BDI;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;1,363044013;2,846685159;-1,654735446;-3,241248646;-4,452932936;-13,26998523;-8,063500471;-1,582477439;2,768029824;-3,353820296;-2,895427919;-0,469619803;1,542047071;-4,295388278;0,997721141;-2,778948028;1,684736425;-0,31118752;0,668760371;-1,339951055;0,287652254;0,368535841;0,762376964;1,222077624;0,765722878;-2,638432078;1,438423112;1,419763039;2,209507819;1,084941769;-2,569100076
Cabo Verde;CPV;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;-1,35290151;-1,010551365;8,447989795;6,396030487;16,78201035;12,06018386;9,390286197;9,265502337;10,72994073;9,545038899;12,57103826;0,682276166;3,729072616;2,781690963;8,820787356;5,646341529;6,748620618;13,90290286;5,936286693;-2,434955323;1,108679411;3,58680088;0,983345736;0,57909231;0,676815489;0,92263125;4,248162326;4,482210931;3,601523496;6,804495317;-20,89375234
Cambodia;KHM;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;-2,970448162;3,22292482;1,395211275;-1,982198501;-39,20297033;1,354120637;-1,776935283;-2,911991734;0,452139873;10,79820549;8,258328773;5,725666444;4,638623567;8,62974314;7,856390011;11,66378614;9,317924013;8,781439166;5,857285554;2,446745048;3,454351171;5,669930844;6,047569827;6,256914983;6,411092519;5,652931676;6,343006276;6,591964956;7,431770302;6,582723649;-4,963681994
Cameroon;CMR;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;-8,832387508;-6,573505025;-5,837375884;-10,51660436;-0,943945009;0,107723326;1,447546691;1,792140147;1,988754487;1,775113123;1,134427922;1,61992408;1,712959815;2,61581879;4,147820576;-0,550411135;0,995178502;1,440565001;-0,054684354;-0,318334275;0,000136421;0,496174365;1,723811615;2,087147191;2,568734064;2,401233687;1,457117227;0,647004976;1,115149469;0,636415291;-2,434760311
Canada;CAN;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;-1,296441312;-3,300299931;-0,296709576;1,535745755;3,355814432;1,625281261;0,631530882;3,248974856;3,034237692;4,289836655;4,163948495;0,774519407;1,887964846;0,895018581;2,135815602;2,237576616;1,602901477;1,064144878;-0,093342792;-4,020088097;1,951447447;2,136077171;0,658841957;1,253590103;1,848409523;-0,112369165;-0,098296362;1,809464472;1,280926597;0,429657601;-6,062406423
Cayman Islands;CYM;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0,141681835;-3,20928627;-9,787751241;-5,378867971;-1,572759725;-1,480998262;-1,343520028;0,08645973;0,360803433;0,854492132;0,889647247;2,044069549;1,776419243;-6,832629325
Central African Republic;CAF;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;-5,143842846;-3,616018604;-9,349902202;-2,810544914;1,676435992;4,315230834;-6,456357747;2,445534632;1,897801366;0,804779829;-5,134014627;2,170718265;1,376905662;-7,634166428;3,726251828;-1,350125405;2,646526517;2,610653881;-0,099646317;9,305022202;5,470380966;2,550653269;4,009636894;-36,8245466;0,497506544;4,198780788;2,875987689;2,786113103;1,978031976;1,722901598;-0,744488615
Chad;TCD;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;-6,793049266;4,6376898;3,514683246;-17,67419072;7,631589839;-3,127821886;-2,213983784;2,068538547;3,334714165;-4,111486261;-4,249502156;7,954457069;4,777308788;10,2279881;27,80731481;12,69680388;-4,057339196;0,671852923;-0,463468028;-4,868746089;9,807131151;0,870883385;5,297342551;-0,767831669;-1,516527567;0,067407494;-7,085061902;-4,81719582;2,247689721;2,043636515;-3,513196445
Channel Islands;CHI;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;-4,281175019;0,438026517;-6,375650594;-0,13346876;1,829758277;-0,072685538;0,9480766;1,536350496;0,736021076;1,150233294;-9,223410358
Chile;CHL;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;1,885816116;5,979140256;9,718440449;5,038662653;3,506258035;7,667629189;5,612431246;5,964963676;2,835462953;-1,520358047;3,723618732;1,968751819;2,069918858;3,633015302;5,602919855;4,791828391;5,019521358;4,143862129;2,757556993;-2,110610427;4,79363748;5,181040333;5,141584313;2,327892561;0,783002086;1,113704459;0,529833517;-0,235110167;2,149881955;-0,962096016;-6,98113062
China;CHN;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;2,427626395;7,879667556;12,90737635;12,626827;11,80188817;9,832960544;8,829513659;8,174846274;6,890190161;6,8081876;7,734180165;7,528727371;8,513909502;9,434441278;9,479239432;10,80464855;12,04728189;13,55536635;9,109747066;8,859902054;10,06342432;8,864807476;7,127012723;7,063224657;6,786669879;6,358550264;6,165427182;6,246266187;6,258612325;5,692900601;2,096866673
Colombia;COL;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;2,148175876;-0,027131591;2,004133144;3,301958502;3,748406759;3,212513452;0,213941192;1,595789065;-1,2158753;-5,854880765;1,252702232;0,092072578;0,939608607;2,362829396;3,797158677;3,371110778;5,311743944;5,394467862;2,047990518;-0,031705102;3,314349367;5,808235034;2,875696275;4,141293878;3,570306654;2,069232271;1,081149257;-0,101221554;0,695264947;1,36014068;-8,509494776
Comoros;COM;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;4,564056005;-8,424457527;5,152055555;0,692244297;-5,671237096;3,819043164;-2,208904708;2,627677707;-1,682713717;0,883683411;-2,889451436;3,273526218;2,407565783;-0,011062921;1,164119097;3,530600471;-3,716261454;-1,185586977;1,919374307;1,207784308;1,735242391;2,08269276;1,113858574;2,281082175;-0,090588167;-0,965303683;1,222764854;1,767566401;1,638356352;-0,178316984;-2,134649597
Congo, Dem. Rep.;COD;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;-9,617485977;-11,4194978;-13,47298978;-16,50711396;-8,34247343;-3,394811215;-2,907651664;-7,121636697;-4,260881134;-7,431658833;-9,849659134;-5,152141467;-0,150938086;2,538250029;3,641201688;2,924531505;1,918036136;5,295725693;4,211042729;-2,495424881;4,459702917;4,121332904;5,100472769;5,958096775;3,724979823;2,904838658;-3,098916862;0,498126251;2,579952943;-2,581768229;-2,418809839
Congo, Rep.;COG;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;-1,84268985;-0,475490065;-0,248600825;-3,866550329;-8,251412083;1,098995748;1,437715184;-2,726553284;1,481553605;-5,177963219;3,531791653;-0,041524211;2,140086357;-1,965648239;-0,000136349;3,941593182;4,017991197;-9,969451338;2,866984152;7,264282805;5,470469704;-1,062959103;6,915172731;-3,096943237;4,100279278;-1,982145875;-10,87005086;-7,86139426;-4,658139749;-1,279884403;-8,48578579
Costa Rica;CRI;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;0,969665371;-0,304259138;6,471889098;4,451878525;1,984493681;1,677539883;-0,997395703;3,119777621;4,857248572;2,075980887;1,87355739;1,652931767;1,722959919;2,727286944;2,900675182;2,484278972;5,834025475;6,759794981;3,327341149;-2,189366862;4,061343259;3,183092788;3,665968605;1,360034895;2,434994988;2,5566433;3,156070578;3,178719703;1,691934104;1,562556413;-4,934442272
Cote d'Ivoire;CIV;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;-4,90939996;-3,856104741;-4,147324949;-4,084534298;-3,078440962;3,027185247;3,636037524;5,515900838;0,404815447;-2,076808836;-2,987892093;-4,737069576;-5,211739304;-7,071018377;0,712925867;-1,386648404;0,421959618;-1,224158705;2,426000244;1,326185181;4,519307455;-7,4042497;5,395835952;8,573224303;6,751698251;4,142329475;4,108583592;4,421612285;2,053348748;3,962447375;-1,816210617
Croatia;HRV;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;..;-19,60190001;-9,529110838;-8,518295234;4,697052598;7,489969467;7,57433401;6,687181079;2,314511638;-0,419403224;3,965766086;7,155929998;5,741058805;5,538321872;4,141420932;4,192859678;5,044365086;5,072234922;1,984984611;-6,714388047;-1,112001896;0,234570646;-1,77266553;0,490141288;0,207342945;3,549115713;4,596592339;4,95688758;4,268990519;4,129699198;-7,486689058
Cuba;CUB;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;-3,848224658;-11,40798781;-12,13937053;-15,31183669;0,300685046;2,088264312;7,478225038;2,447690006;-0,174678072;5,828937117;5,563154079;2,860747197;1,122781327;3,49676185;5,494101958;10,96668512;11,90692375;7,179252426;4,075427545;1,424745097;2,365972366;2,764442102;3,00028175;2,793146233;1,158528832;4,537537855;0,597183645;1,970754715;2,436568375;0,053218664;-10,73835387
Curacao;CUW;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;..;..;..;..;..;..;..;..;..;..;..;3,007946013;0,274293371;-1,758681697;-1,505340183;-1,858439975;-0,940961791;0,466173824;0,910342295;-1,176896518;-1,176268627;-0,909566559;-1,172561486;-1,755807568;-1,967467486;-0,858779715;-2,111161329;-1,59116394;-1,588630619;-2,041096052;-17,41083348
