Series Name;Series Code;Country Name;Country Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Bangladesh;BGD;0,686510707;0,628027178;0,654704269;0,582732541;0,60005714;0,668909981;0,590055046;0,511157807;0,537803802;0,663669373;0,923670144;0,951029511;1,156315805;1,172670318;1,250330881;1,421508609;1,621914501;1,280146844;1,245908424;1,192678765;1,415909699;1,589425068;1,554569775;1,151683885;1,047180748;0,89981388;0,716140757;0,71042001;0,649238823;0,637717564;0,560867699
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Barbados;BRB;0,42022875;0,230289623;0,27513467;0,249148835;0,223828846;0,258669173;0,230653857;0,176665303;0,144360374;0,272777479;0,380670353;0,246298576;0,243476236;0,224503344;0,239255676;0,356611997;0,397643724;0,354933568;0,400710135;0,217755378;0,297144735;0,478258262;0,455018922;0,38379567;0,327779296;0,129202531;0,09666448;0,132282263;0,214063429;0,230547662;0,138343276
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Belarus;BLR;1,46495317;0,699615528;2,264168517;2,212482022;1,922932672;2,295403927;3,371197224;3,188023051;0,797134865;1,720730294;2,545576715;2,145280942;1,811256532;1,765396196;1,791530557;1,769998576;1,677895076;1,555101605;1,6038513;1,141105787;1,213578839;1,654101784;1,727820267;1,435801056;1,324615641;1,168670461;1,242769571;1,564175833;1,981284062;1,669605347;1,520638317
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Belgium;BEL;0,045547534;0,029392012;0,023478682;0,025368826;0,023307563;0,021136982;0,022615723;0,020382784;0,02340671;0,022823527;0,024615871;0,020997042;0,023639636;0,021692791;0,015863656;0,015728442;0,019282088;0,019073094;0,018362627;0,017316827;0,046971722;0,065845607;0,063372612;0,059122126;0,068106556;0,035251804;0,030378006;0,037150201;0,048448781;0,04224278;0,028487638
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Belize;BLZ;0,572758685;0,535944914;0,477522642;0,436250448;0,397405388;0,487323154;0,409891121;0,396693346;0,331381514;0,282795926;0,205648154;0,204856055;0,214525511;0,209561895;0,185339714;0,216624955;2,339459247;3,043549583;4,787787621;3,210217741;4,218535449;5,751302665;3,949102434;2,747871459;2,060630487;0,832694637;0,707884095;0,740544656;0,796890251;0,584709329;0,478914006
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Benin;BEN;7,962448352;7,162567747;8,989357205;5,754141942;9,16848911;9,203050979;8,302381343;8,01233326;7,528245306;3,147925746;3,260951485;3,084829324;3,302809291;4,140247462;3,125428292;3,07234404;3,048762093;3,626915046;3,648754647;3,702918328;3,42232994;3,478932344;3,921628358;3,561165857;3,704615524;4,300303136;4,45372247;4,098353253;2,608307276;2,467995902;2,427984838
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Bermuda;BMU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Bhutan;BTN;6,262119038;7,57357543;7,94072809;6,517623916;5,360711341;6,125440451;5,834989308;4,280260081;4,189767475;4,284535889;3,99249792;3,859865236;3,574159057;3,338246597;2,965026785;2,690948329;3,394634779;4,303432812;4,202209946;3,53573296;5,304481036;4,920991786;4,252832831;3,476424349;3,41885764;4,028295413;4,436401933;3,364033412;1,988507439;2,190069828;2,792032349
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Bolivia;BOL;7,287767175;3,865362523;3,835795492;3,641556134;4,411089096;5,110800008;4,732803056;4,013825292;2,235948064;2,774976275;4,612827883;4,333686865;4,944851247;5,316278028;7,429981188;11,54522087;14,63345652;13,98493458;12,77668676;7,448517422;9,161612122;14,00109561;12,35314111;11,95986829;10,53288022;4,118077548;2,972753126;5,014566925;5,371667258;4,095293587;2,720379798
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Bosnia and Herzegovina;BIH;..;..;..;..;0,248609656;1,368140583;0,091740863;1,910367376;1,548263334;1,360924692;1,25561727;1,321347213;0,87697262;0,823756269;1,706172992;1,830450777;1,643955987;2,124648767;3,637767327;1,45852245;2,722289429;3,526252702;2,22058549;1,761610481;1,236322738;1,01862795;1,046956686;1,2816214;1,052591803;0,800756928;0,781248846
